date_modified,rib.active_routes_count,rib.backup_routes_count,rib.deleted_routes_count,rib.paths_count,rib.protocol_route_memory,rib.routes_counts,router_id,total_paths,total_prefixes
2022-09-04T02:02:22.451Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:02:24.540Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:02:24.540Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:02:24.540Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:02:24.540Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:02:48.885Z,11,0,0,11,1760,11,1.1.1.3,36,30
2022-09-04T02:02:48.885Z,11,0,0,11,1760,11,1.1.1.3,36,30
2022-09-04T02:02:48.885Z,11,0,0,11,1760,11,1.1.1.3,36,30
2022-09-04T02:02:48.885Z,11,0,0,11,1760,11,1.1.1.3,36,30
2022-09-04T02:03:09.510Z,11,0,0,11,1760,11,1.1.1.3,36,30
2022-09-04T02:03:11.477Z,11,0,0,11,1760,11,1.1.1.3,36,30
2022-09-04T02:03:11.477Z,11,0,0,11,1760,11,1.1.1.3,36,30
2022-09-04T02:03:11.477Z,11,0,0,11,1760,11,1.1.1.3,36,30
2022-09-04T02:03:11.477Z,11,0,0,11,1760,11,1.1.1.3,36,30
2022-09-04T02:03:34.534Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:03:34.534Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:03:34.534Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:03:34.534Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:03:55.460Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:03:57.366Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:03:57.366Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:03:57.366Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:04:16.012Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:04:20.098Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:04:20.098Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:04:20.098Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:04:20.098Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:04:40.948Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:04:42.892Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:04:42.892Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:04:42.892Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:05:02.404Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:05:06.371Z,11,0,0,11,1760,11,1.1.1.3,36,30
2022-09-04T02:05:06.371Z,11,0,0,11,1760,11,1.1.1.3,36,30
2022-09-04T02:05:06.371Z,11,0,0,11,1760,11,1.1.1.3,36,30
2022-09-04T02:05:06.371Z,11,0,0,11,1760,11,1.1.1.3,36,30
2022-09-04T02:05:29.395Z,11,3,0,14,2240,14,1.1.1.3,36,30
2022-09-04T02:05:29.395Z,11,3,0,14,2240,14,1.1.1.3,36,30
2022-09-04T02:05:29.395Z,11,3,0,14,2240,14,1.1.1.3,36,30
2022-09-04T02:05:29.395Z,11,3,0,14,2240,14,1.1.1.3,36,30
2022-09-04T02:05:48.246Z,11,3,0,14,2240,14,1.1.1.3,36,30
2022-09-04T02:05:52.191Z,11,3,0,14,2240,14,1.1.1.3,42,30
2022-09-04T02:05:52.191Z,11,3,0,14,2240,14,1.1.1.3,42,30
2022-09-04T02:05:52.191Z,11,3,0,14,2240,14,1.1.1.3,42,30
2022-09-04T02:06:10.769Z,11,3,0,14,2240,14,1.1.1.3,42,30
2022-09-04T02:06:14.988Z,11,3,0,14,2240,14,1.1.1.3,42,30
2022-09-04T02:06:14.988Z,11,3,0,14,2240,14,1.1.1.3,42,30
2022-09-04T02:06:14.988Z,11,3,0,14,2240,14,1.1.1.3,42,30
2022-09-04T02:06:14.988Z,11,3,0,14,2240,14,1.1.1.3,42,30
2022-09-04T02:06:35.175Z,11,0,3,11,2024,14,1.1.1.3,42,30
2022-09-04T02:06:39.034Z,11,0,3,11,2024,14,1.1.1.3,42,30
2022-09-04T02:06:39.034Z,11,0,3,11,2024,14,1.1.1.3,42,30
2022-09-04T02:06:39.034Z,11,0,3,11,2024,14,1.1.1.3,42,30
2022-09-04T02:06:39.034Z,11,0,3,11,2024,14,1.1.1.3,42,30
2022-09-04T02:07:02.740Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:07:02.740Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:07:02.740Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:07:02.740Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:07:22.346Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:07:26.556Z,11,0,0,11,1760,11,1.1.1.3,36,30
2022-09-04T02:07:26.556Z,11,0,0,11,1760,11,1.1.1.3,36,30
2022-09-04T02:07:26.556Z,11,0,0,11,1760,11,1.1.1.3,36,30
2022-09-04T02:07:26.556Z,11,0,0,11,1760,11,1.1.1.3,36,30
2022-09-04T02:07:47.429Z,11,0,0,11,1760,11,1.1.1.3,36,30
